Date,Event,Passage,Source
1942,"In Winn v. Federal Land Bank of Houston, the Texas Court of Appeals dismissed an appeal due to the appellants' failure to meet the burden of proof for their affidavit of inability to pay costs. This case highlights the requirement for parties to provide competent proof of their inability to pay to avoid dismissal.","""Winn v. Federal Land Bank of Houston, 164 S.W.2d 864 (Tex. App. 1942)""","(vLex-Vincent-Can-a-divorce-case-be.pdf, p. 3)"
1976,"The Texas Supreme Court's decision in Holley v. Adams established a non-exhaustive list of considerations, known as the Holley factors, for determining the best interest of the child in custody cases. These factors have been repeatedly reaffirmed and applied in subsequent appellate and Supreme Court decisions.","""The most influential judicial articulation of relevant factors is found in the Texas Supreme Court’s decision in Holley v. Adams, which set out a non-exhaustive list of considerations for determining the best interest of the child.""","(vLex-Vincent-What-factors-can-a-trial.pdf, p. 2)"
1983,"The case 'Quintero v. Jim Walter Homes, Inc.' was referenced, indicating a legal proceeding or decision that took place in 1983.","""Quintero v. Jim Walter Homes, Inc., 654 S.W.2d 442, 1983""","(vLex-Vincent-In-Texas,-if-a-party (2).pdf, p. 1)"
1983,"The case 'Quintero v. Jim Walter Homes, Inc.' was referenced, indicating a legal proceeding related to the revocation of consent in Texas.","""Quintero v. Jim Walter Homes, Inc., 654 S.W.2d 442, 1983""","(vLex-Vincent-In-Texas,-if-a-party (3).pdf, p. 1)"
1990-1993,"A series of earlier Texas Court of Appeals cases, including Brewer v. Collins (1993), Carson v. Gomez (1992), Timmons v. Luce (1992), Thompson v. Ereckson (1991), Huntsberry v. Lynaugh (1991), and Kendrick v. Lynaugh (1990), confirm that a court may dismiss an action if it finds that the affidavit of inability to pay is false. These cases collectively establish a precedent that the rule is not limited to any particular type of civil case.","""Earlier cases, such as Brewer v. Collins, 857 S.W.2d 819 (Tex. App. 1993), Carson v. Gomez, 841 S.W.2d 491 (Tex. App. 1992), Timmons v. Luce, 840 S.W.2d 582 (Tex. App. 1992), Thompson v. Ereckson, 814 S.W.2d 805 (Tex. App. 1991), Huntsberry v. Lynaugh, 807 S.W.2d 16 (Tex. App. 1991), and Kendrick v. Lynaugh, 804 S.W.2d 153 (Tex. App. 1990), all confirm that a court may dismiss an action if it finds that the affidavit of inability to pay is false, and none of these decisions limit the rule to any particular type of civil case.""","(vLex-Vincent-Can-a-divorce-case-be.pdf, p. 1)"
1990,"In Kendrick v. Lynaugh, the Texas Court of Appeals ruled that under Section 13.001 of the Texas Civil Practice and Remedies Code, a court may dismiss a case if it finds that the affidavit of inability to pay is false. This case supports the dismissal of cases with false affidavits.","""Kendrick v. Lynaugh, 804 S.W.2d 153 (Tex. App. 1990)""","(id., p. 5)"
1990,"The Texas Court of Appeals in HBA East, Ltd. v. JEA Boxing Co., Inc. held that the plain language of Rule 237a places the burden on the plaintiff to file the remand order and provide written notice to the defendant. This decision clarifies the procedural responsibilities of the plaintiff in the remand process.","""The Texas Court of Appeals in HBA East, Ltd. v. JEA Boxing Co., Inc., 796 S.W.2d 534 (Tex. App. 1990) held that the plain language of Rule 237a places the burden on the plaintiff to file the remand order and provide written notice to the defendant.""","(vLex-Vincent-Does-a-defendant's-prior-answer.pdf, p. 1)"
1990,"The court in HBA East, Ltd. v. JEA Boxing Co., Inc. clarified that the plaintiff controls the timing of the remand order filing and notice, and the defendant’s conduct does not alter the plaintiff’s procedural duties under Rule 237a.","""Similarly, HBA East, Ltd. v. JEA Boxing Co., Inc., 796 S.W.2d 534 (Tex. App. 1990) made clear that the plaintiff controls the timing of the remand order filing and notice, and that the defendant’s conduct does not alter the plaintiff’s procedural duties under Rule 237a.""","(vLex-Vincent-Does-a-defendant's-attempt-to.pdf, p. 1)"
1990,"In HBA East, Ltd. v. JEA Boxing Co., Inc., the court explained that the plaintiff’s filing and notice are the operative events that trigger the defendant’s answer deadline.","""In HBA East, Ltd. v. JEA Boxing Co., Inc., the court explained that the plaintiff’s filing and notice are the operative events that trigger the defendant’s answer deadline.""","(id., p. 2)"
1990,"DFW Hospital Council cites HBA East Ltd. v. JEA Boxing Co., Inc. for the proposition that Rule 237a requires the plaintiff to file a copy of the remand order with the state court clerk and notify defendants to trigger the fifteen-day deadline for filing an answer.","""DFW Hospital Council also cites HBA East Ltd. v. JEA Boxing Co., Inc., 796 S.W.2d 534, 538 (Tex.App.-Houston [1st Dist.] 1990, writ denied) for the proposition that rule 237a requires the plaintiff to file a copy of the remand order with the state court clerk and notify defendants of the filing in order to trigger the fifteen-day deadline for filing an answer.""","(id., p. 3)"
1990,The case was removed to federal court and quickly remanded back to the state court.,"""In this case, the cause was removed to federal court and quickly remanded back to the state court.""","(id., p. 3)"
1990,"The Texas Court of Appeals interpreted Rule 237a in HBA East, Ltd. v. JEA Boxing Co., Inc., establishing a fifteen-day period for defendants to answer after receiving notice of remand.","""The Texas Court of Appeals in HBA East, Ltd. v. JEA Boxing Co., Inc., 796 S.W.2d 534 (Tex. App. 1990) interpreted Rule 237a as establishing a fifteen-day period for defendants to answer after receiving notice of remand, regardless of whether the defendant had already answered in federal court.""","(vLex-Vincent-Is-Rule-237a-of-the.pdf, p. 1)"
1991,"In Huntsberry v. Lynaugh, the Texas Court of Appeals ruled that a court has the authority to dismiss an action if it finds that the affidavit of inability to pay contains false allegations of poverty. This case applies to any case where such an affidavit is filed, including divorce cases.","""Huntsberry v. Lynaugh, 807 S.W.2d 16 (Tex. App. 1991)""","(vLex-Vincent-Can-a-divorce-case-be.pdf, p. 4)"
