timestamp,input_path,output_txt,output_meta,pages,ocr_pages,ocr_mode,dpi,text_chars,ocr_chars,duration_sec,status,error
2025-12-23 12:37:50,RESEARCH\allegations such as drug.pdf,extracted_research\allegations such as drug.txt,extracted_research\allegations such as drug.json,9,0,auto,300,21826,0,0.01,ok,
2025-12-23 12:37:50,RESEARCH\ATTORNEY FAILURE TO PROSECUTE.pdf,extracted_research\ATTORNEY FAILURE TO PROSECUTE.txt,extracted_research\ATTORNEY FAILURE TO PROSECUTE.json,15,0,auto,300,37109,0,0.01,ok,
2025-12-23 12:37:50,RESEARCH\BEST INTERESTS.pdf,extracted_research\BEST INTERESTS.txt,extracted_research\BEST INTERESTS.json,32,0,auto,300,80721,0,0.02,ok,
2025-12-23 12:37:50,RESEARCH\COORDINATOR IN RECUSAL PROCESS.pdf,extracted_research\COORDINATOR IN RECUSAL PROCESS.txt,extracted_research\COORDINATOR IN RECUSAL PROCESS.json,9,0,auto,300,22895,0,0.01,ok,
2025-12-23 12:37:50,RESEARCH\EMAILS FROM BAKER ANALYSIS.pdf,extracted_research\EMAILS FROM BAKER ANALYSIS.txt,extracted_research\EMAILS FROM BAKER ANALYSIS.json,41,0,auto,300,132967,0,0.03,ok,
2025-12-23 12:37:50,RESEARCH\failed to plead.pdf,extracted_research\failed to plead.txt,extracted_research\failed to plead.json,7,0,auto,300,16664,0,0.01,ok,
2025-12-23 12:37:50,RESEARCH\FAILURE TO RESPOND.pdf,extracted_research\FAILURE TO RESPOND.txt,extracted_research\FAILURE TO RESPOND.json,13,0,auto,300,32820,0,0.01,ok,
2025-12-23 12:37:50,RESEARCH\HIDING DOCUMENTS FROM PUBLIC.pdf,extracted_research\HIDING DOCUMENTS FROM PUBLIC.txt,extracted_research\HIDING DOCUMENTS FROM PUBLIC.json,25,0,auto,300,64877,0,0.02,ok,
2025-12-23 12:37:50,RESEARCH\NO DISCLOSURE OF TESTIMONY.pdf,extracted_research\NO DISCLOSURE OF TESTIMONY.txt,extracted_research\NO DISCLOSURE OF TESTIMONY.json,22,0,auto,300,50195,0,0.01,ok,
2025-12-23 12:37:50,RESEARCH\NO ORDER OF REFERRAL - ASSOCIATE JUDGE.pdf,extracted_research\NO ORDER OF REFERRAL - ASSOCIATE JUDGE.txt,extracted_research\NO ORDER OF REFERRAL - ASSOCIATE JUDGE.json,9,0,auto,300,21840,0,0.01,ok,
