timestamp,input_path,output_txt,output_meta,pages,ocr_pages,ocr_mode,dpi,text_chars,ocr_chars,duration_sec,status,error
2025-12-23 06:35:33,CASE DOCS\04.12.25 - MARCH 26 ORDERS ANALYSIS-1.pdf,extracted_text\04.12.25 - MARCH 26 ORDERS ANALYSIS-1.txt,extracted_text\04.12.25 - MARCH 26 ORDERS ANALYSIS-1.json,30,30,always,300,52200,51202,26.53,ok,
2025-12-23 06:38:13,CASE DOCS\04.14.25 - 02-25-00166-CV MANDAMUS RECORD-1.pdf,extracted_text\04.14.25 - 02-25-00166-CV MANDAMUS RECORD-1.txt,extracted_text\04.14.25 - 02-25-00166-CV MANDAMUS RECORD-1.json,171,171,always,300,262217,242146,160.14,ok,
2025-12-23 06:40:04,CASE DOCS\04.14.25 - 02-25-00166-CV MANDAMUS-1.pdf,extracted_text\04.14.25 - 02-25-00166-CV MANDAMUS-1.txt,extracted_text\04.14.25 - 02-25-00166-CV MANDAMUS-1.json,109,109,always,300,146132,142694,110.82,ok,
2025-12-23 06:40:52,CASE DOCS\04.15.2025_02-25-00166-CV EMERGENCY STAY-1.pdf,extracted_text\04.15.2025_02-25-00166-CV EMERGENCY STAY-1.txt,extracted_text\04.15.2025_02-25-00166-CV EMERGENCY STAY-1.json,49,49,always,300,52681,50814,48.35,ok,
2025-12-23 06:41:40,CASE DOCS\04.15.2025_02-25-00166-CV MANDAMUS VOID ORDER-1.pdf,extracted_text\04.15.2025_02-25-00166-CV MANDAMUS VOID ORDER-1.txt,extracted_text\04.15.2025_02-25-00166-CV MANDAMUS VOID ORDER-1.json,52,52,always,300,50901,48690,48.31,ok,
2025-12-23 06:41:52,CASE DOCS\04.15.2025_DOMINANT JURISDICTION ANALYSIS-1.pdf,extracted_text\04.15.2025_DOMINANT JURISDICTION ANALYSIS-1.txt,extracted_text\04.15.2025_DOMINANT JURISDICTION ANALYSIS-1.json,13,13,always,300,13129,12782,12.07,ok,
2025-12-23 06:42:29,CASE DOCS\04.15.2025_PROCEDURAL IRREGULARITIES WITH TEMPORARY ORDERS-1.pdf,extracted_text\04.15.2025_PROCEDURAL IRREGULARITIES WITH TEMPORARY ORDERS-1.txt,extracted_text\04.15.2025_PROCEDURAL IRREGULARITIES WITH TEMPORARY ORDERS-1.json,31,31,always,300,55058,52798,36.92,ok,
2025-12-23 06:42:31,CASE DOCS\04.15.21 - COOPER CARTER APPEARANCE-1.pdf,extracted_text\04.15.21 - COOPER CARTER APPEARANCE-1.txt,extracted_text\04.15.21 - COOPER CARTER APPEARANCE-1.json,2,2,always,300,460,1288,1.74,ok,
2025-12-23 06:43:30,CASE DOCS\04.15.25 - ORIGINAL SAPCR COVER LETTER-1.pdf,extracted_text\04.15.25 - ORIGINAL SAPCR COVER LETTER-1.txt,extracted_text\04.15.25 - ORIGINAL SAPCR COVER LETTER-1.json,50,50,always,300,84578,85571,59.04,ok,
2025-12-23 06:44:01,CASE DOCS\04.16.2025_02-25-00171-CV - MANDAMUS CONSOLIDATION-1.pdf,extracted_text\04.16.2025_02-25-00171-CV - MANDAMUS CONSOLIDATION-1.txt,extracted_text\04.16.2025_02-25-00171-CV - MANDAMUS CONSOLIDATION-1.json,31,31,always,300,33713,32465,30.48,ok,
