timestamp,input_path,output_txt,output_meta,pages,ocr_pages,ocr_mode,dpi,text_chars,ocr_chars,duration_sec,status,error
2025-12-23 04:20:38,CASE DOCS\02-24-00149-CV_24149CV-1.pdf,extracted_text\02-24-00149-CV_24149CV-1.txt,extracted_text\02-24-00149-CV_24149CV-1.json,2,2,always,300,691,587,0.96,ok,
2025-12-23 04:20:39,CASE DOCS\02-24-00149-CV_24149CV.cor-1.pdf,extracted_text\02-24-00149-CV_24149CV.cor-1.txt,extracted_text\02-24-00149-CV_24149CV.cor-1.json,2,2,always,300,690,586,0.91,ok,
2025-12-23 04:20:40,CASE DOCS\02-24-00149-CV_24149CV.cor_961223C6-03e9250a-1.pdf,extracted_text\02-24-00149-CV_24149CV.cor_961223C6-03e9250a-1.txt,extracted_text\02-24-00149-CV_24149CV.cor_961223C6-03e9250a-1.json,2,2,always,300,734,632,1.02,ok,
2025-12-23 04:20:41,CASE DOCS\02-24-00149-CV_24149CV.cor_961223C6-1.pdf,extracted_text\02-24-00149-CV_24149CV.cor_961223C6-1.txt,extracted_text\02-24-00149-CV_24149CV.cor_961223C6-1.json,2,2,always,300,734,632,1.05,ok,
2025-12-23 04:20:43,CASE DOCS\02-24-00149-CV_CORR OPINION PAGE_FILECOPY_FC8D2EE3-0f787c6f-1.pdf,extracted_text\02-24-00149-CV_CORR OPINION PAGE_FILECOPY_FC8D2EE3-0f787c6f-1.txt,extracted_text\02-24-00149-CV_CORR OPINION PAGE_FILECOPY_FC8D2EE3-0f787c6f-1.json,2,2,always,300,1663,1625,1.44,ok,
2025-12-23 04:20:44,CASE DOCS\02-24-00149-CV_MEM OPINION ISSD_OPINION ISSD_FILECOPY-1.pdf,extracted_text\02-24-00149-CV_MEM OPINION ISSD_OPINION ISSD_FILECOPY-1.txt,extracted_text\02-24-00149-CV_MEM OPINION ISSD_OPINION ISSD_FILECOPY-1.json,1,1,always,300,1457,1435,0.99,ok,
2025-12-23 04:20:44,CASE DOCS\02-24-00149-CV_MT REHEAR DISP ORIG PROC CV_FILECOPY_BDCA6517-1-1.pdf,extracted_text\02-24-00149-CV_MT REHEAR DISP ORIG PROC CV_FILECOPY_BDCA6517-1-1.txt,extracted_text\02-24-00149-CV_MT REHEAR DISP ORIG PROC CV_FILECOPY_BDCA6517-1-1.json,1,1,always,300,690,699,0.61,ok,
2025-12-23 04:20:45,CASE DOCS\02-24-00149-CV_MT REHEAR DISP ORIG PROC CV_FILECOPY_BDCA6517-1.pdf,extracted_text\02-24-00149-CV_MT REHEAR DISP ORIG PROC CV_FILECOPY_BDCA6517-1.txt,extracted_text\02-24-00149-CV_MT REHEAR DISP ORIG PROC CV_FILECOPY_BDCA6517-1.json,1,1,always,300,690,699,0.6,ok,
2025-12-23 04:20:46,CASE DOCS\02-24-00149-CV_PET MAND FLD_FILECOPY (2)-1.pdf,extracted_text\02-24-00149-CV_PET MAND FLD_FILECOPY (2)-1.txt,extracted_text\02-24-00149-CV_PET MAND FLD_FILECOPY (2)-1.json,1,1,always,300,1257,1212,0.87,ok,
2025-12-23 04:20:47,CASE DOCS\02-24-00149-CV_PET MAND FLD_FILECOPY (2)_3D0FAE00-07353b0d-1.pdf,extracted_text\02-24-00149-CV_PET MAND FLD_FILECOPY (2)_3D0FAE00-07353b0d-1.txt,extracted_text\02-24-00149-CV_PET MAND FLD_FILECOPY (2)_3D0FAE00-07353b0d-1.json,1,1,always,300,1257,1212,0.84,ok,
2025-12-23 04:20:47,CASE DOCS\02-24-00149-CV_PET MAND FLD_FILECOPY (2)_3D0FAE00-1-1.pdf,extracted_text\02-24-00149-CV_PET MAND FLD_FILECOPY (2)_3D0FAE00-1-1.txt,extracted_text\02-24-00149-CV_PET MAND FLD_FILECOPY (2)_3D0FAE00-1-1.json,1,1,always,300,1257,1212,0.86,ok,
